start	end	text
0	9280	Hi, I'm Chris. I'm an editor and a Blackmagic certified master trainer and today we're going
9280	14360	to continue our exploration of editing in DaVinci Resolve. Now following on from the
14360	19600	previous video, what we can do is just simply open up the project and carry on working from
19600	25160	where we last left off. In the project manager in Resolve, just simply double click the age
25160	30520	of airplane's trailer. This will open up the project at the last point that you last left it.
30520	36200	Now the first thing that we want to do before we make any major changes to this project is to
36200	41120	duplicate the existing timeline. That way we've always got a backup of the work that we've done
41120	46240	previously. So if we go too far in changing this timeline, we can always go back to a previous
46240	52840	version. Go to the timelines bin in order to locate your timeline that you were just working on,
52840	61920	then right click the timeline and choose duplicate timeline. Now rename this timeline by
61920	68560	clicking on the name and calling it version 2 and double click the timeline to open it up into
68560	73840	the timeline window. The first thing that we're going to do to this duplicate timeline is to add
73840	80680	some audio tracks so that we can add some voiceover and some sound effects. Right click in any of
80680	87320	the track headers and choose add tracks. This allows you to add any number of video and audio
87320	92200	tracks that you need for your timeline. In this case, we don't need to add any video tracks,
92200	99920	so set the number of video tracks to zero and set the number of audio tracks to three. Insert
99920	105600	position is below audio one. This is the correct location for where we want to add our new tracks
105800	111840	and the audio track type is going to be stereo. You don't always want stereo as your default
111840	117480	track type. Instead, you might actually be working with mono audio. In that case though,
117480	121880	you can always change the track type later, so we'll just stick with stereo for the moment.
121880	129520	Choose add tracks to add the three extra audio tracks to your timeline. The other thing that would
129520	134920	be helpful to do is actually rename these tracks so that I know what type of audio is on each track.
135280	140800	I'll just make the timeline track headers a little bit bigger and I'm going to click on the name
140800	151160	for audio track one and I'm going to call this sync. Audio track two, we're going to call this
151160	161920	VO. Audio track three, we'll call SFX as we will in audio track four and finally audio track five
162240	168920	is the music track. The other thing that you can do is actually color code the audio tracks. This
168920	173920	makes it easy. It's a visual reference so that it's easy in order to be able to see the type of
173920	179040	audio that you're working with. There's no need to set specific colors. Just go with the colors
179040	184600	that you personally think work for you. So in this case, I'm going to right click the sync track
184880	195080	and I'm actually going to choose change track color to lime. All of the clips in that track turn
195080	206240	to lime. For the VO, I'm going to choose track color teal. For the sound effects, I'm going to
206240	217240	choose track color brown as I am for the second soundtrack and for the music, I'm going to choose
217240	227600	olive. Providing you haven't changed the clip color of the clip within its bin or in the timeline,
227600	232520	it'll inherit the color of the timeline tracks. This means it's easy to spot when you're looking
232520	238240	at the timeline. So first thing we need to do is add some voiceover and the first voiceover piece
238240	243680	is going to go between the first and second piece of interview, but obviously on the voiceover track.
243680	251440	So I'm just going to place the playhead just part way into the second video clip. I should just
